artifact_id,path,stage,run_id,file_size,sha256,row_count,column_count,schema_fingerprint,config_hash,code_hash,parent_artifact_ids,creation_time,validation_status
s00_preflight_01_environment,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\runs\run_20260913T071002Z\environment.json,s00_preflight,run_20260913T071002Z,2899,a0aed20113533dd595de9843b05706f02101575d39853e2bb9e31271604cad00,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,fd37f0b82f2b122a9e5f546a1a814b0948e6289bba81234c3051e3ea3d868b6a,,2026-09-13T07:10:03.807177+00:00,PASS
s00_preflight_02_treatment_readiness_evidence,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\runs\run_20260913T071002Z\treatment_readiness_evidence.json,s00_preflight,run_20260913T071002Z,782,fbb43a6a5248a0262a49a79ece47bb95b629ec499f2de031bebf2faa5c8207dc,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,fd37f0b82f2b122a9e5f546a1a814b0948e6289bba81234c3051e3ea3d868b6a,,2026-09-13T07:10:03.809155+00:00,PASS
s10_ookla_pilot_01_ookla_fixed_q2_adm1_2021_2024,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\processed\ookla_fixed_q2_adm1_2021_2024.parquet,s10_ookla_pilot,run_20260913T071002Z,27947,7e0c6128a8fffb4fd4ed25c47ad792574cd784ea433266b44518045f2eea4dc5,252,14,0305bd19d7b861e9d0998af57be468029e28b8c9db37ca8c25ce20bd6fbc5c22,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,31adbd4de119d820b23ad294ff4f5cb44a0a3ad4aa7a3a9325719a2ce1da8aa8,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:10:21.925715+00:00,PASS
s10_ookla_pilot_02_vnnic_q2_validation_2021_2024,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\processed\vnnic_q2_validation_2021_2024.parquet,s10_ookla_pilot,run_20260913T071002Z,6821,62765b08d4022a0c1c5e1d8c15c97af6777204b632129d004dc03fe40860baeb,252,6,4935e18ae325779b9285082ef5f40f7dcd249a70947657c48592235e6649af07,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,31adbd4de119d820b23ad294ff4f5cb44a0a3ad4aa7a3a9325719a2ce1da8aa8,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:10:21.929346+00:00,PASS
s10_ookla_pilot_03_ookla_validation_partition_manifest,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\manifests\ookla_validation_partition_manifest.csv,s10_ookla_pilot,run_20260913T071002Z,1495,178e46f0f9b1c4c890778dd41280caf60df3f669112b2249d8ce2483831d1656,4,10,dda3d988ca004f195da88d41d3a1888e65e1c254de98ddeff62946a89971afe6,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,31adbd4de119d820b23ad294ff4f5cb44a0a3ad4aa7a3a9325719a2ce1da8aa8,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:10:21.932091+00:00,PASS
s10_ookla_pilot_04_ookla_validation_lineage,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\lineage\ookla_validation_lineage.csv,s10_ookla_pilot,run_20260913T071002Z,1181,91e48435cbc8e3f287cf31016c9d71778cfe4518d7d0c2fd56f27dbb593ae54c,5,3,a73ef89d4082c34c831df3f192f919637ac0bafbe91f1909abd2f01bfda0030b,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,31adbd4de119d820b23ad294ff4f5cb44a0a3ad4aa7a3a9325719a2ce1da8aa8,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:10:21.934231+00:00,PASS
s10_ookla_pilot_05_ookla_preflight,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\ookla_preflight.json,s10_ookla_pilot,run_20260913T071002Z,2779,8fff4ebd3fd73615597c44bbdee113fe81b7e38312f85a6b078086a20cac8c34,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,31adbd4de119d820b23ad294ff4f5cb44a0a3ad4aa7a3a9325719a2ce1da8aa8,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:10:21.935340+00:00,PASS
s10_ookla_pilot_06_ookla_2024q2_benchmark,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\ookla_2024q2_benchmark.json,s10_ookla_pilot,run_20260913T071002Z,787,0a45e9092c32ffd0f617b49cdb218e190e80a10221362d8dff13ee0ecdff6673,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,31adbd4de119d820b23ad294ff4f5cb44a0a3ad4aa7a3a9325719a2ce1da8aa8,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:10:21.943570+00:00,PASS
s10_ookla_pilot_07_ookla_spatial_assignment_audit,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\ookla_spatial_assignment_audit.csv,s10_ookla_pilot,run_20260913T071002Z,60687,b4c3caf262759756cd0a1d076ad98c2c4377b164680505767b4ac1e93e1ff676,400,10,ffc4d3eafc96b0441a3e41c88acc4a4084129f4c9f9feb7b2b8d97e459f24c36,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,31adbd4de119d820b23ad294ff4f5cb44a0a3ad4aa7a3a9325719a2ce1da8aa8,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:10:21.947534+00:00,PASS
s10_ookla_pilot_08_ookla_coverage_audit,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\ookla_coverage_audit.csv,s10_ookla_pilot,run_20260913T071002Z,964,7d616f19b811190681144f2f0731083cb28bdf257bcb2dad2107350d1488ed60,4,24,308509f4afbe9192958772d146d8479ce57e6ab0a3fcc85a66c57e8dc451f441,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,31adbd4de119d820b23ad294ff4f5cb44a0a3ad4aa7a3a9325719a2ce1da8aa8,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:10:21.959829+00:00,PASS
s10_ookla_pilot_09_ookla_composition_audit,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\ookla_composition_audit.csv,s10_ookla_pilot,run_20260913T071002Z,302,1c4fc229fdbe6cc3aceedff072787f990e978686470fbeb92b704c69e98855a8,3,3,46097f0d30a093c86209189fa748553f62985eb8fd8ae1f4341a2ce4001b375a,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,31adbd4de119d820b23ad294ff4f5cb44a0a3ad4aa7a3a9325719a2ce1da8aa8,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:10:21.962226+00:00,PASS
s10_ookla_pilot_10_measurement_validation_decision,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\measurement_validation_decision.json,s10_ookla_pilot,run_20260913T071002Z,920,2cf862f7e20eef29bd8f2a2e5805d91cebb9d15f57570d3d3ac6e04cf4357b82,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,31adbd4de119d820b23ad294ff4f5cb44a0a3ad4aa7a3a9325719a2ce1da8aa8,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:10:21.963375+00:00,PASS
