artifact_id,path,stage,run_id,file_size,sha256,row_count,column_count,schema_fingerprint,config_hash,code_hash,parent_artifact_ids,creation_time,validation_status
s00_preflight_01_environment,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\runs\run_20260913T114343Z\environment.json,s00_preflight,run_20260913T114343Z,2899,0fdc92c1aa8819a3361fb2348b9dc5140f1cef1e131ed4d0cbe98ee4497b9aed,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,fd37f0b82f2b122a9e5f546a1a814b0948e6289bba81234c3051e3ea3d868b6a,,2026-09-13T11:43:44.983824+00:00,PASS
s00_preflight_02_treatment_readiness_evidence,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\runs\run_20260913T114343Z\treatment_readiness_evidence.json,s00_preflight,run_20260913T114343Z,782,fbb43a6a5248a0262a49a79ece47bb95b629ec499f2de031bebf2faa5c8207dc,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,fd37f0b82f2b122a9e5f546a1a814b0948e6289bba81234c3051e3ea3d868b6a,,2026-09-13T11:43:44.985642+00:00,PASS
s15_internal_review_final_01_measurement_divergence_manuscript_revision_01_20260913,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\reports\archive\measurement_divergence_manuscript_revision_01_20260913.md,s15_internal_review_final,run_20260913T114343Z,15518,e76d9a5785de4a0b94c2e4c6eae1117e74a681e046c03aa6dd460c439535b460,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,3d7eeffcda800d6594aa3cda6c397a77832ceeff33beb9c25ebb546853ecf18d,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T11:43:45.011060+00:00,PASS
s15_internal_review_final_02_measurement_divergence_manuscript_revision_02,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\reports\measurement_divergence_manuscript_revision_02.md,s15_internal_review_final,run_20260913T114343Z,15580,59c31063e850a7f25766435130169bc8e76b7dd09c6566fc43736a935f4a6e69,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,3d7eeffcda800d6594aa3cda6c397a77832ceeff33beb9c25ebb546853ecf18d,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T11:43:45.012224+00:00,PASS
s15_internal_review_final_03_measurement_divergence_appendix_revision_02,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\reports\measurement_divergence_appendix_revision_02.md,s15_internal_review_final,run_20260913T114343Z,2834,0b5d5bb480283bbc8e8c6a9dda2124c654b3aea86127847c18debacd5ccb1003,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,3d7eeffcda800d6594aa3cda6c397a77832ceeff33beb9c25ebb546853ecf18d,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T11:43:45.013328+00:00,PASS
s15_internal_review_final_04_internal_review_numeric_reconciliation_v2,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\internal_review_numeric_reconciliation_v2.csv,s15_internal_review_final,run_20260913T114343Z,3917,c60106a52972ad43a2a631d3d44c1d1cab107c3db9cf74b68f8d2da7bec76de8,58,4,1619a734f724bddc3e051e71c0cdd3dfaffcfcdfcf6df2b665cded337c7a389e,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,3d7eeffcda800d6594aa3cda6c397a77832ceeff33beb9c25ebb546853ecf18d,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T11:43:45.027010+00:00,PASS
s15_internal_review_final_05_internal_review_response_matrix_v2,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\internal_review_response_matrix_v2.csv,s15_internal_review_final,run_20260913T114343Z,273,fdda3a68817a9fa237d1df542740c1793a62dc8de93308b65a41decb2ad1cf53,2,5,dad05e32a57bfc9688d725efc3dccd963f71f1d2d657ee6543611a3b185b1e8a,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,3d7eeffcda800d6594aa3cda6c397a77832ceeff33beb9c25ebb546853ecf18d,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T11:43:45.037948+00:00,PASS
s15_internal_review_final_06_internal_scientific_review_final,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\reports\internal_scientific_review_final.md,s15_internal_review_final,run_20260913T114343Z,574,2890335fc531c340ed3e64154825043e7c98a85763f71cd686fb143ee799352b,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,3d7eeffcda800d6594aa3cda6c397a77832ceeff33beb9c25ebb546853ecf18d,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T11:43:45.044481+00:00,PASS
s15_internal_review_final_07_measurement_divergence_manuscript_revision_02_changelog,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\reports\measurement_divergence_manuscript_revision_02_changelog.md,s15_internal_review_final,run_20260913T114343Z,367,9dd7ea0c96fd1468a2f178760a64cdd7ba0254aafdb84543022309502e376d96,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,3d7eeffcda800d6594aa3cda6c397a77832ceeff33beb9c25ebb546853ecf18d,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T11:43:45.051104+00:00,PASS
s15_internal_review_final_08_internal_scientific_review_final_decision,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\internal_scientific_review_final_decision.json,s15_internal_review_final,run_20260913T114343Z,742,a78847fd7828776ab748a39b1e69220bc7fe9ca0c7c4fa63bb1f550f0174f888,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,3d7eeffcda800d6594aa3cda6c397a77832ceeff33beb9c25ebb546853ecf18d,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T11:43:45.057022+00:00,PASS
