parent_artifact_id,child_artifact_id,run_id
s00_preflight_01_environment,s15_internal_review_final_01_measurement_divergence_manuscript_revision_01_20260913,run_20260913T114343Z
s00_preflight_02_treatment_readiness_evidence,s15_internal_review_final_01_measurement_divergence_manuscript_revision_01_20260913,run_20260913T114343Z
s00_preflight_01_environment,s15_internal_review_final_02_measurement_divergence_manuscript_revision_02,run_20260913T114343Z
s00_preflight_02_treatment_readiness_evidence,s15_internal_review_final_02_measurement_divergence_manuscript_revision_02,run_20260913T114343Z
s00_preflight_01_environment,s15_internal_review_final_03_measurement_divergence_appendix_revision_02,run_20260913T114343Z
s00_preflight_02_treatment_readiness_evidence,s15_internal_review_final_03_measurement_divergence_appendix_revision_02,run_20260913T114343Z
s00_preflight_01_environment,s15_internal_review_final_04_internal_review_numeric_reconciliation_v2,run_20260913T114343Z
s00_preflight_02_treatment_readiness_evidence,s15_internal_review_final_04_internal_review_numeric_reconciliation_v2,run_20260913T114343Z
s00_preflight_01_environment,s15_internal_review_final_05_internal_review_response_matrix_v2,run_20260913T114343Z
s00_preflight_02_treatment_readiness_evidence,s15_internal_review_final_05_internal_review_response_matrix_v2,run_20260913T114343Z
s00_preflight_01_environment,s15_internal_review_final_06_internal_scientific_review_final,run_20260913T114343Z
s00_preflight_02_treatment_readiness_evidence,s15_internal_review_final_06_internal_scientific_review_final,run_20260913T114343Z
s00_preflight_01_environment,s15_internal_review_final_07_measurement_divergence_manuscript_revision_02_changelog,run_20260913T114343Z
s00_preflight_02_treatment_readiness_evidence,s15_internal_review_final_07_measurement_divergence_manuscript_revision_02_changelog,run_20260913T114343Z
s00_preflight_01_environment,s15_internal_review_final_08_internal_scientific_review_final_decision,run_20260913T114343Z
s00_preflight_02_treatment_readiness_evidence,s15_internal_review_final_08_internal_scientific_review_final_decision,run_20260913T114343Z
