province_id_legacy63,year,ookla_rank,vnnic_rank
VN_LEGACY63_46,2021,34.0,42.0
VN_LEGACY63_46,2022,48.0,23.0
VN_LEGACY63_46,2023,47.0,20.0
VN_LEGACY63_46,2024,30.0,21.0
VN_LEGACY63_48,2021,62.0,55.0
VN_LEGACY63_48,2022,62.0,55.0
VN_LEGACY63_48,2023,61.0,38.0
VN_LEGACY63_48,2024,62.0,46.0
VN_LEGACY63_49,2021,33.0,37.0
VN_LEGACY63_49,2022,45.0,31.0
VN_LEGACY63_49,2023,50.0,16.0
VN_LEGACY63_49,2024,43.0,34.0
VN_LEGACY63_51,2021,42.0,21.0
VN_LEGACY63_51,2022,44.0,19.0
VN_LEGACY63_51,2023,36.0,59.0
VN_LEGACY63_51,2024,32.0,43.0
VN_LEGACY63_52,2021,43.0,6.0
VN_LEGACY63_52,2022,33.0,8.0
VN_LEGACY63_52,2023,52.0,25.0
VN_LEGACY63_52,2024,44.0,19.0
VN_LEGACY63_54,2021,35.0,16.0
VN_LEGACY63_54,2022,35.0,2.0
VN_LEGACY63_54,2023,51.0,8.0
VN_LEGACY63_54,2024,26.0,2.0
VN_LEGACY63_56,2021,54.0,54.0
VN_LEGACY63_56,2022,53.0,28.0
VN_LEGACY63_56,2023,56.0,34.0
VN_LEGACY63_56,2024,55.0,18.0
VN_LEGACY63_58,2021,55.0,33.0
VN_LEGACY63_58,2022,40.0,56.0
VN_LEGACY63_58,2023,33.0,62.0
VN_LEGACY63_58,2024,34.0,60.0
VN_LEGACY63_60,2021,29.0,44.5
VN_LEGACY63_60,2022,30.0,15.0
VN_LEGACY63_60,2023,30.0,41.0
VN_LEGACY63_60,2024,40.0,38.0
VN_LEGACY63_62,2021,38.0,27.0
VN_LEGACY63_62,2022,49.5,14.0
VN_LEGACY63_62,2023,40.0,9.0
VN_LEGACY63_62,2024,35.0,8.0
VN_LEGACY63_64,2021,51.0,59.0
VN_LEGACY63_64,2022,51.0,53.0
VN_LEGACY63_64,2023,48.0,50.0
VN_LEGACY63_64,2024,33.0,63.0
VN_LEGACY63_66,2021,37.0,23.0
VN_LEGACY63_66,2022,14.0,24.0
VN_LEGACY63_66,2023,32.0,19.0
VN_LEGACY63_66,2024,50.0,12.0
VN_LEGACY63_67,2021,20.0,34.0
VN_LEGACY63_67,2022,11.0,7.0
VN_LEGACY63_67,2023,11.0,18.0
VN_LEGACY63_67,2024,17.0,4.0
VN_LEGACY63_68,2021,49.0,47.5
VN_LEGACY63_68,2022,55.0,32.0
VN_LEGACY63_68,2023,53.0,27.0
VN_LEGACY63_68,2024,56.0,14.0
VN_LEGACY63_70,2021,48.0,38.0
VN_LEGACY63_70,2022,43.0,30.0
VN_LEGACY63_70,2023,41.0,26.0
VN_LEGACY63_70,2024,51.0,30.0
VN_LEGACY63_72,2021,61.0,61.0
VN_LEGACY63_72,2022,57.0,54.0
VN_LEGACY63_72,2023,60.0,58.0
VN_LEGACY63_72,2024,61.0,37.0
VN_LEGACY63_74,2021,59.0,62.0
VN_LEGACY63_74,2022,60.0,60.0
VN_LEGACY63_74,2023,59.0,53.0
VN_LEGACY63_74,2024,60.0,54.0
VN_LEGACY63_75,2021,52.0,58.0
VN_LEGACY63_75,2022,58.0,59.0
VN_LEGACY63_75,2023,54.0,55.0
VN_LEGACY63_75,2024,58.0,55.0
VN_LEGACY63_77,2021,50.0,44.5
VN_LEGACY63_77,2022,61.0,45.0
VN_LEGACY63_77,2023,62.0,33.0
VN_LEGACY63_77,2024,59.0,52.0
VN_LEGACY63_79,2021,63.0,63.0
VN_LEGACY63_79,2022,63.0,62.0
VN_LEGACY63_79,2023,63.0,52.0
VN_LEGACY63_79,2024,63.0,51.0
VN_LEGACY63_80,2021,47.0,49.0
VN_LEGACY63_80,2022,54.0,52.0
VN_LEGACY63_80,2023,44.0,47.0
VN_LEGACY63_80,2024,53.0,23.0
VN_LEGACY63_82,2021,46.0,51.0
VN_LEGACY63_82,2022,47.0,47.0
VN_LEGACY63_82,2023,42.0,60.0
VN_LEGACY63_82,2024,52.0,32.0
VN_LEGACY63_83,2021,40.0,40.0
VN_LEGACY63_83,2022,41.0,49.5
VN_LEGACY63_83,2023,37.0,61.0
VN_LEGACY63_83,2024,48.0,15.0
VN_LEGACY63_84,2021,36.0,35.0
VN_LEGACY63_84,2022,15.0,20.0
VN_LEGACY63_84,2023,21.0,23.0
VN_LEGACY63_84,2024,18.0,49.0
VN_LEGACY63_86,2021,41.0,31.0
VN_LEGACY63_86,2022,32.0,33.0
VN_LEGACY63_86,2023,49.0,17.0
VN_LEGACY63_86,2024,45.0,22.0
VN_LEGACY63_87,2021,45.0,32.0
