artifact_id,path,stage,run_id,file_size,sha256,row_count,column_count,schema_fingerprint,config_hash,code_hash,parent_artifact_ids,creation_time,validation_status
s00_preflight_01_environment,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\runs\run_20260913T013734Z\environment.json,s00_preflight,run_20260913T013734Z,2767,98b61f04e08752bbe595797f80387fedea8ec8f6b3c5fbff895919dfb9c6f9cc,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,074715a20d63dcb17baf8044d23e8bf35fd6be2100bd73948544478206236817,,2026-09-13T01:37:35.918474+00:00,PASS
s00_preflight_02_treatment_readiness_evidence,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\runs\run_20260913T013734Z\treatment_readiness_evidence.json,s00_preflight,run_20260913T013734Z,782,fbb43a6a5248a0262a49a79ece47bb95b629ec499f2de031bebf2faa5c8207dc,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,074715a20d63dcb17baf8044d23e8bf35fd6be2100bd73948544478206236817,,2026-09-13T01:37:35.920627+00:00,PASS
s01_inventory_01_source_inventory,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\manifests\source_inventory.csv,s01_inventory,run_20260913T013734Z,3202,eb330c53d2294ad715ecf3304b0fd169c39eabe06bb953d6f6e4364a7e3ff6b1,14,14,46a5d649e8feca7ec90dc0e398bd61de4d6eb59f4b703e0bff5c7c171ebe3fe7,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,c7120d39eb397968fc1fb3fe9b8df35a1adfe41df81320e639c6ea8f697a6903,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T01:37:37.051799+00:00,PASS
s01_inventory_02_declared_inputs,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\manifests\declared_inputs.csv,s01_inventory,run_20260913T013734Z,2544,bad45d467ea2f954290fb25dd802a085d64665bc462b1b2d71028447f89dd870,16,5,f3370d13a8b25100134a23c801de80a0a93d6efef36fdcb15201203cf330484d,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,c7120d39eb397968fc1fb3fe9b8df35a1adfe41df81320e639c6ea8f697a6903,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T01:37:37.056233+00:00,PASS
s02_semantics_01_semantic_registry,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\semantic_registry.csv,s02_semantics,run_20260913T013734Z,2244,5bf249218b8d47bd5ae446dfd299edc8d9bf07105e472d7864e8f77fff65d9e6,4,9,e5f5dfc9fa528b1b059bcb65908151fb5c21f69a42c6447454e33fa03f5f42a2,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,7abd95eb3f30272620ed180b329b7edb4e05a2c796e1ac4a6750d4e87f2f2e5f,s01_inventory_01_source_inventory | s01_inventory_02_declared_inputs,2026-09-13T01:37:37.062034+00:00,PASS
s02_semantics_02_missing_document_request,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\reports\missing_document_request.md,s02_semantics,run_20260913T013734Z,576,451f0f6c868996d6803a772538ff9fda61490555ad7fb77e27c16d7503ac7bf5,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,7abd95eb3f30272620ed180b329b7edb4e05a2c796e1ac4a6750d4e87f2f2e5f,s01_inventory_01_source_inventory | s01_inventory_02_declared_inputs,2026-09-13T01:37:37.063959+00:00,PASS
s02_semantics_03_vnnic_semantic_decision,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\vnnic_semantic_decision.json,s02_semantics,run_20260913T013734Z,1402,23f2af453506da741795d6a9656ea9981746478a5859fae5f40d33fa8966315d,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,7abd95eb3f30272620ed180b329b7edb4e05a2c796e1ac4a6750d4e87f2f2e5f,s01_inventory_01_source_inventory | s01_inventory_02_declared_inputs,2026-09-13T01:37:37.065214+00:00,PASS
s02_semantics_04_nso_semantic_decision,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\nso_semantic_decision.json,s02_semantics,run_20260913T013734Z,1186,35e90c264c703b9145e4f5a57a398b972aae99dc5b236846bef48097dd68e373,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,7abd95eb3f30272620ed180b329b7edb4e05a2c796e1ac4a6750d4e87f2f2e5f,s01_inventory_01_source_inventory | s01_inventory_02_declared_inputs,2026-09-13T01:37:37.066508+00:00,PASS
s03_geography_01_dim_province_legacy63,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\dim_province_legacy63.parquet,s03_geography,run_20260913T013734Z,8708,c76ec45c1c95f9fe5ecf967cc750e2d8fff5ac77d68520ee70cba4fddf7c626a,63,8,2d998c72be225a5f4cbeac04c9e057893122fa958bd5468e8930141feab87cb7,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,2cf74dab8ff111c258d6a9d8668a3c6454f9195b2b906cac96a6878db13e3127,s02_semantics_01_semantic_registry | s02_semantics_02_missing_document_request | s02_semantics_03_vnnic_semantic_decision | s02_semantics_04_nso_semantic_decision,2026-09-13T01:37:37.320727+00:00,PASS
s03_geography_02_geography_gate,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\geography_gate.json,s03_geography,run_20260913T013734Z,481,1dd41bca5e3f709cf59d7eb21543dfb79f469de7612c4a80eaa059d9aa456c48,,,,533db80c1a96e4834d1c6b91881d195641668b189cdb18c999a47b65f6cc087f,2cf74dab8ff111c258d6a9d8668a3c6454f9195b2b906cac96a6878db13e3127,s02_semantics_01_semantic_registry | s02_semantics_02_missing_document_request | s02_semantics_03_vnnic_semantic_decision | s02_semantics_04_nso_semantic_decision,2026-09-13T01:37:37.323006+00:00,PASS
