year_a,year_b,N,spearman_rank_persistence
2021,2022,63,0.44795141972493574
2021,2023,63,0.2730633063502975
2021,2024,63,0.4745697621390682
2022,2023,63,0.7876387639331088
2023,2024,63,0.5040744074770446
