year,sd_level,sd_log,coefficient_of_variation,interquartile_range,p90_p10_ratio,max_min_ratio
2021,3.6547672926102477,0.07556889340730659,0.0758872748299981,4.219999999999999,1.18440038114252,1.4743718592964825
2022,10.229868642480035,0.16878298662514696,0.17264213564678807,13.824999999999996,1.5368164143294454,2.133495145631068
2023,10.673716619439277,0.12038114374195269,0.12195369673257993,12.625,1.3127831715210359,2.089163890211011
2024,9.85997477222739,0.12118578899003754,0.1105571137842256,11.924999999999997,1.2939518128899212,1.9468276856524875
