source,year,sd_level,sd_log,coefficient_of_variation,interquartile_range,p90_p10_ratio,max_min_ratio
VNNIC_Q2,2021,4.292823880193485,0.09745371866196882,0.09790430118057665,5.885000000000005,1.2899201336326147,1.5091973244147157
VNNIC_Q2,2022,4.453893347378313,0.09220757712427782,0.09523423089592743,4.974999999999994,1.2423718225938205,1.5635808748728381
VNNIC_Q2,2023,12.717645725558613,0.1356412307212906,0.14519465272311985,12.325000000000003,1.3625516801243096,2.455140485312899
VNNIC_Q2,2024,24.10792641490814,0.17360577935065702,0.24361908983485175,8.149999999999991,1.170357002383101,3.508573008849558
OOKLA_TILE_MEDIAN,2021,5.7928240670494215,0.11395695429744214,0.1158600490948812,8.393500000000003,1.345058414607868,1.636603388347391
OOKLA_TILE_MEDIAN,2022,8.702944687143,0.14926945882150855,0.16140302625864025,9.660499999999999,1.4655779897936543,2.0943897708497956
OOKLA_TILE_MEDIAN,2023,14.387755974043973,0.18229593776898206,0.1939990453093041,16.567250000000016,1.5721527411132183,2.426676228038724
OOKLA_TILE_MEDIAN,2024,19.024673715962855,0.18407122095325135,0.20140262009892723,20.4315,1.6069460669073572,2.3411266381869518
