diagnostic_label,aggregation_variant,year,N,spearman_rank_correlation,pearson_log_speed_correlation,median_absolute_rank_difference,absolute_rank_difference_gt15,top_quartile_agreement,bottom_quartile_agreement,median_split_agreement,change_rank_spearman_2021_2024,same_direction_change_proportion,ookla_sd_level,ookla_sd_log,ookla_coefficient_of_variation,ookla_interquartile_range,ookla_p90_p10_ratio,ookla_max_min_ratio
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_median,2021,63,0.5423517271081965,0.5842486630830637,12.0,26,0.7301587301587301,0.7777777777777778,0.6825396825396826,-0.24707181259600616,1.0,5.7928240670494215,0.11395695429744214,0.1158600490948812,8.393500000000003,1.345058414607868,1.636603388347391
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_median,2022,63,0.48787278731386163,0.5393002998439278,10.0,20,0.7777777777777778,0.7777777777777778,0.6190476190476191,-0.24707181259600616,1.0,8.702944687143,0.14926945882150855,0.16140302625864025,9.660499999999999,1.4655779897936543,2.0943897708497956
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_median,2023,63,0.29627496159754224,0.2198004990783683,14.0,29,0.6507936507936508,0.6825396825396826,0.6507936507936508,-0.24707181259600616,1.0,14.387755974043973,0.18229593776898206,0.1939990453093041,16.567250000000016,1.5721527411132183,2.426676228038724
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_median,2024,63,0.24810983373683076,0.04651425402869931,14.0,29,0.6507936507936508,0.7142857142857143,0.6507936507936508,-0.24707181259600616,1.0,19.024673715962855,0.18407122095325135,0.20140262009892723,20.4315,1.6069460669073572,2.3411266381869518
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_mean,2021,63,0.46050452453079566,0.4848736105956274,9.5,25,0.6984126984126984,0.746031746031746,0.7142857142857143,-0.19254032258064516,1.0,5.73282320699537,0.10307393212141609,0.1033544261837703,9.557478526972403,1.3038546082224285,1.4849789991894096
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_mean,2022,63,0.4281976815193055,0.4383880338035618,10.0,23,0.7777777777777778,0.746031746031746,0.5873015873015873,-0.19254032258064516,1.0,7.78325553619893,0.11838751103653437,0.12021882648070371,10.741088446046163,1.3774056250033802,1.6499518461268474
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_mean,2023,63,0.34394201228878646,0.23835372834992155,13.0,27,0.6825396825396826,0.7142857142857143,0.6825396825396826,-0.19254032258064516,1.0,11.763455142176547,0.12605134335209936,0.12980881151145757,18.43310832514541,1.3654891306129338,1.7486628948676317
POST_HOC_MEASUREMENT_DIAGNOSTIC,unweighted_tile_mean,2024,63,0.2745361592610883,0.08069706146212449,17.0,33,0.6507936507936508,0.7142857142857143,0.6507936507936508,-0.19254032258064516,1.0,16.558104299395023,0.14607719176200543,0.15237175776129988,24.070456477483617,1.4022000065609428,1.9296364308080562
POST_HOC_MEASUREMENT_DIAGNOSTIC,tests_weighted_mean,2021,63,0.4439670692299659,0.445135283652854,9.0,24,0.6984126984126984,0.746031746031746,0.7142857142857143,-0.17842741935483872,1.0,8.002532265968998,0.132913850285259,0.13259263764585885,13.179202201739237,1.4094290510041276,1.62735958718992
POST_HOC_MEASUREMENT_DIAGNOSTIC,tests_weighted_mean,2022,63,0.4014833306487345,0.42939958921721366,11.0,23,0.746031746031746,0.7142857142857143,0.6190476190476191,-0.17842741935483872,1.0,8.527096187594253,0.117985167839464,0.12170326046344906,12.791309174039313,1.3352481492377442,1.59459842056369
POST_HOC_MEASUREMENT_DIAGNOSTIC,tests_weighted_mean,2023,63,0.4124903993855607,0.32854014673585763,12.0,31,0.746031746031746,0.7142857142857143,0.6825396825396826,-0.17842741935483872,1.0,12.115092298602256,0.11850340157919119,0.12085564737770449,17.937189503266765,1.3471174536740649,1.6370241687941218
POST_HOC_MEASUREMENT_DIAGNOSTIC,tests_weighted_mean,2024,63,0.2609989679843569,0.07816562108024332,13.0,30,0.6825396825396826,0.7142857142857143,0.6507936507936508,-0.17842741935483872,1.0,18.00866919750742,0.1454888501289416,0.15067909845668875,26.111747534914628,1.463730997995889,1.7959823648833404
POST_HOC_MEASUREMENT_DIAGNOSTIC,devices_weighted_mean,2021,63,0.4771619903925893,0.47979946586345434,9.0,22,0.7301587301587301,0.746031746031746,0.6825396825396826,-0.16868279569892475,1.0,7.181650047220039,0.12334390143417906,0.12368884838463058,11.520541833973382,1.376435576428346,1.5928011977062624
POST_HOC_MEASUREMENT_DIAGNOSTIC,devices_weighted_mean,2022,63,0.4257014618512557,0.45034526278856846,9.0,22,0.7777777777777778,0.746031746031746,0.6190476190476191,-0.16868279569892475,1.0,8.7030663680375,0.12280375021664222,0.12618778953581597,12.103202687458392,1.3693940301350045,1.664278845066604
POST_HOC_MEASUREMENT_DIAGNOSTIC,devices_weighted_mean,2023,63,0.35714285714285715,0.2587716241058198,16.0,32,0.6825396825396826,0.6825396825396826,0.6825396825396826,-0.16868279569892475,1.0,12.211339975775998,0.12377951377118272,0.12650571129777866,16.96181118835932,1.3783050673746975,1.698624136740209
POST_HOC_MEASUREMENT_DIAGNOSTIC,devices_weighted_mean,2024,63,0.27052780652489306,0.09533624374398796,16.0,33,0.6825396825396826,0.746031746031746,0.6190476190476191,-0.16868279569892475,1.0,18.142080768532615,0.15207381760441047,0.15758277067908402,24.70553484989297,1.460792382015207,1.9239750823215258
