year,N,mean,median,standard_deviation,minimum,p10,p25,p75,p90,maximum,coefficient_of_variation,interquartile_range
2021,63,5.354938086394298,3.85817158202803,4.866829719772498,1.406853450511,2.2471035287768157,2.81464411082343,5.533745744333785,9.410975761026416,29.28653576450852,0.908848924348542,2.7191016335103555
2022,63,5.583167598737005,4.16274970386015,4.895188836610522,1.42597423836957,2.3705074162296897,3.01186760919158,5.815472525153725,9.728454114886247,29.18799363175695,0.8767762654515129,2.803604915962145
2023,63,5.768653178812679,4.4,4.88586370020943,1.6,2.42,3.25,6.110680833579785,9.814960632315236,28.9,0.8469678361241076,2.860680833579785
2024,63,5.8715363917952095,4.5,4.851320819986197,1.6,2.5,3.25,6.27376163501883,10.197940286773871,28.3,0.8262438476520991,3.02376163501883
