province_id_legacy63,shapeISO,year,ookla_tile_median_download_mbps,ookla_tile_mean_download_mbps,ookla_tests_weighted_mean_download_mbps,ookla_devices_weighted_mean_download_mbps
VN_LEGACY63_01,VN-HN,2021,49.441,52.38246322671025,61.25238236372973,60.605956952117864
VN_LEGACY63_01,VN-HN,2022,64.30600000000001,69.22462455516013,80.24982970837739,79.38546987201207
VN_LEGACY63_01,VN-HN,2023,92.8905,99.34213395365167,114.63720318760916,113.15943374541975
VN_LEGACY63_01,VN-HN,2024,115.848,122.17417210682494,147.86966200316988,145.28024157499317
VN_LEGACY63_02,VN-03,2021,41.569,46.942139751552794,48.68173456790123,47.618381270903015
VN_LEGACY63_02,VN-03,2022,47.251,63.73696525821598,62.50126724774708,64.97662236192188
VN_LEGACY63_02,VN-03,2023,61.4955,81.04880151843817,86.06179704664146,84.63220966894377
VN_LEGACY63_02,VN-03,2024,80.5235,94.07899904580152,97.40691880882146,97.05653027681662
VN_LEGACY63_04,VN-04,2021,48.4645,53.18217500000001,53.33206756189677,53.062639851485145
VN_LEGACY63_04,VN-04,2022,48.541,63.231872454448016,63.81581469849247,64.08882913907284
VN_LEGACY63_04,VN-04,2023,59.569,80.04219469928644,88.91784296565389,86.12997723048328
VN_LEGACY63_04,VN-04,2024,76.32050000000001,92.04448369565216,110.04830730027547,97.36851790981879
VN_LEGACY63_06,VN-53,2021,41.943,45.85528417266187,48.018349620893005,46.06502807775378
VN_LEGACY63_06,VN-53,2022,44.669,55.77969085631349,63.49817848643504,59.623993016759776
VN_LEGACY63_06,VN-53,2023,62.0055,83.6098599439776,86.43035694822888,84.45195952023988
VN_LEGACY63_06,VN-53,2024,82.22049999999999,100.36045978552278,106.25432401919278,103.36594385216773
VN_LEGACY63_08,VN-07,2021,47.849,55.63708319999999,61.83324685262898,55.26666044444445
VN_LEGACY63_08,VN-07,2022,51.4165,70.31358540925268,67.38113957954316,69.35796067415731
VN_LEGACY63_08,VN-07,2023,71.628,91.33497374024131,93.6778555089592,92.485851010101
VN_LEGACY63_08,VN-07,2024,80.5625,95.80691254315305,105.65365532048597,102.27566536530955
VN_LEGACY63_10,VN-02,2021,45.915,53.28067346938776,54.00983882493052,54.420703212290505
VN_LEGACY63_10,VN-02,2022,49.089,58.90879358196011,64.95026432792423,62.50433142693738
VN_LEGACY63_10,VN-02,2023,68.4295,89.67470128676472,94.25160321412403,92.73628991473097
VN_LEGACY63_10,VN-02,2024,80.019,94.9215058419244,103.05941578989002,100.22737106496984
VN_LEGACY63_11,VN-71,2021,44.653999999999996,51.56874537037037,60.4798856364874,53.78881935483871
VN_LEGACY63_11,VN-71,2022,43.296,53.955348942598185,59.57017329233473,58.603465569774535
VN_LEGACY63_11,VN-71,2023,62.122,84.44317403708988,86.64901761942052,86.44226511912035
VN_LEGACY63_11,VN-71,2024,79.951,97.4073352601156,104.24253862068964,99.47961487519103
