section,variable,N,mean,median,standard_deviation,minimum,p10,p25,p75,p90,maximum
connectivity,ftth_change_2021_2024_mbps,63,41.02396825396826,42.339999999999996,8.791700914312194,10.739999999999995,30.181999999999995,37.94,47.230000000000004,49.926,56.18000000000001
connectivity,ftth_log_change_2021_2024,63,0.6122116332327814,0.6225789251990923,0.11188974353090306,0.21131919738183758,0.5079031287580882,0.564311002316698,0.6946696252171969,0.7214512848675337,0.7994655237130357
enterprise,firm_density_change_2021_2024,63,0.5165983054009107,0.43881358487033983,0.48318780686892115,-0.9865357645085204,0.09600170101588992,0.2940430543885948,0.7396829950567598,1.0255211521511403,2.1846192750609905
enterprise,firm_density_log_change_2021_2024,63,0.11169685589381823,0.11264845623108655,0.0633009266270443,-0.03765049179328894,0.033975760922484353,0.07101839557874029,0.1554833663062513,0.18566837285955506,0.2393711015661728
