year,N,mean,median,standard_deviation,minimum,p10,p25,p75,p90,maximum,coefficient_of_variation,interquartile_range
2021,63,48.1604761904762,48.07,3.6547672926102477,39.8,44.077999999999996,45.84,50.06,52.205999999999996,58.68,0.0758872748299981,4.219999999999999
2022,63,59.25476190476191,58.27,10.229868642480035,41.2,48.348,51.74,65.565,74.30200000000002,87.9,0.17264213564678807,13.824999999999996
2023,63,87.52269841269842,89.07,10.673716619439277,63.03,74.16,81.345,93.97,97.35600000000001,131.68,0.12195369673257993,12.625
2024,63,89.18444444444444,91.14,9.85997477222739,55.48,76.61800000000001,84.375,96.3,99.14,108.01,0.1105571137842256,11.924999999999997
