aggregation_variant,n,point_estimate,boot_ci_low,boot_ci_high,boot_mean,n_boot
unweighted_tile_median,63,-0.24707181259600616,-0.47386376147253184,0.004116777892921663,-0.24531537899302738,10000
unweighted_tile_mean,63,-0.19254032258064516,-0.43182507517885216,0.05347095211272464,-0.19033744833046273,10000
tests_weighted_mean,63,-0.17842741935483872,-0.41051917527548554,0.0790682970791209,-0.17519838973303517,10000
devices_weighted_mean,63,-0.16868279569892475,-0.3984781710988158,0.07353193738429074,-0.16722734047406584,10000
