left_artifact,right_artifact,declared_cardinality,observed_cardinality,left_rows_before,right_rows,output_rows,duplicate_left_key_rows,duplicate_right_key_rows,matched_rows,unmatched_left_rows,unmatched_right_rows,row_expansion,row_contraction,match_rate_by_year,match_rate_by_province,temporal_overlap,status
skeleton_legacy63_2021_2024,fact_connectivity_province_year,1:1,1:1,252,252,252,0,0,252,0,0,0,0,"{""2021"": 1.0, ""2022"": 1.0, ""2023"": 1.0, ""2024"": 1.0}","{""VN_LEGACY63_01"": 1.0, ""VN_LEGACY63_02"": 1.0, ""VN_LEGACY63_04"": 1.0, ""VN_LEGACY63_06"": 1.0, ""VN_LEGACY63_08"": 1.0, ""VN_LEGACY63_10"": 1.0, ""VN_LEGACY63_11"": 1.0, ""VN_LEGACY63_12"": 1.0, ""VN_LEGACY63_14"": 1.0, ""VN_LEGACY63_15"": 1.0, ""VN_LEGACY63_17"": 1.0, ""VN_LEGACY63_19"": 1.0, ""VN_LEGACY63_20"": 1.0, ""VN_LEGACY63_22"": 1.0, ""VN_LEGACY63_24"": 1.0, ""VN_LEGACY63_25"": 1.0, ""VN_LEGACY63_26"": 1.0, ""VN_LEGACY63_27"": 1.0, ""VN_LEGACY63_30"": 1.0, ""VN_LEGACY63_31"": 1.0, ""VN_LEGACY63_33"": 1.0, ""VN_LEGACY63_34"": 1.0, ""VN_LEGACY63_35"": 1.0, ""VN_LEGACY63_36"": 1.0, ""VN_LEGACY63_37"": 1.0, ""VN_LEGACY63_38"": 1.0, ""VN_LEGACY63_40"": 1.0, ""VN_LEGACY63_42"": 1.0, ""VN_LEGACY63_44"": 1.0, ""VN_LEGACY63_45"": 1.0, ""VN_LEGACY63_46"": 1.0, ""VN_LEGACY63_48"": 1.0, ""VN_LEGACY63_49"": 1.0, ""VN_LEGACY63_51"": 1.0, ""VN_LEGACY63_52"": 1.0, ""VN_LEGACY63_54"": 1.0, ""VN_LEGACY63_56"": 1.0, ""VN_LEGACY63_58"": 1.0, ""VN_LEGACY63_60"": 1.0, ""VN_LEGACY63_62"": 1.0, ""VN_LEGACY63_64"": 1.0, ""VN_LEGACY63_66"": 1.0, ""VN_LEGACY63_67"": 1.0, ""VN_LEGACY63_68"": 1.0, ""VN_LEGACY63_70"": 1.0, ""VN_LEGACY63_72"": 1.0, ""VN_LEGACY63_74"": 1.0, ""VN_LEGACY63_75"": 1.0, ""VN_LEGACY63_77"": 1.0, ""VN_LEGACY63_79"": 1.0, ""VN_LEGACY63_80"": 1.0, ""VN_LEGACY63_82"": 1.0, ""VN_LEGACY63_83"": 1.0, ""VN_LEGACY63_84"": 1.0, ""VN_LEGACY63_86"": 1.0, ""VN_LEGACY63_87"": 1.0, ""VN_LEGACY63_89"": 1.0, ""VN_LEGACY63_91"": 1.0, ""VN_LEGACY63_92"": 1.0, ""VN_LEGACY63_93"": 1.0, ""VN_LEGACY63_94"": 1.0, ""VN_LEGACY63_95"": 1.0, ""VN_LEGACY63_96"": 1.0}",2021-2024,PASS
skeleton_plus_connectivity,fact_nso_primary_outcome,1:1,1:1,252,252,252,0,0,252,0,0,0,0,"{""2021"": 1.0, ""2022"": 1.0, ""2023"": 1.0, ""2024"": 1.0}","{""VN_LEGACY63_01"": 1.0, ""VN_LEGACY63_02"": 1.0, ""VN_LEGACY63_04"": 1.0, ""VN_LEGACY63_06"": 1.0, ""VN_LEGACY63_08"": 1.0, ""VN_LEGACY63_10"": 1.0, ""VN_LEGACY63_11"": 1.0, ""VN_LEGACY63_12"": 1.0, ""VN_LEGACY63_14"": 1.0, ""VN_LEGACY63_15"": 1.0, ""VN_LEGACY63_17"": 1.0, ""VN_LEGACY63_19"": 1.0, ""VN_LEGACY63_20"": 1.0, ""VN_LEGACY63_22"": 1.0, ""VN_LEGACY63_24"": 1.0, ""VN_LEGACY63_25"": 1.0, ""VN_LEGACY63_26"": 1.0, ""VN_LEGACY63_27"": 1.0, ""VN_LEGACY63_30"": 1.0, ""VN_LEGACY63_31"": 1.0, ""VN_LEGACY63_33"": 1.0, ""VN_LEGACY63_34"": 1.0, ""VN_LEGACY63_35"": 1.0, ""VN_LEGACY63_36"": 1.0, ""VN_LEGACY63_37"": 1.0, ""VN_LEGACY63_38"": 1.0, ""VN_LEGACY63_40"": 1.0, ""VN_LEGACY63_42"": 1.0, ""VN_LEGACY63_44"": 1.0, ""VN_LEGACY63_45"": 1.0, ""VN_LEGACY63_46"": 1.0, ""VN_LEGACY63_48"": 1.0, ""VN_LEGACY63_49"": 1.0, ""VN_LEGACY63_51"": 1.0, ""VN_LEGACY63_52"": 1.0, ""VN_LEGACY63_54"": 1.0, ""VN_LEGACY63_56"": 1.0, ""VN_LEGACY63_58"": 1.0, ""VN_LEGACY63_60"": 1.0, ""VN_LEGACY63_62"": 1.0, ""VN_LEGACY63_64"": 1.0, ""VN_LEGACY63_66"": 1.0, ""VN_LEGACY63_67"": 1.0, ""VN_LEGACY63_68"": 1.0, ""VN_LEGACY63_70"": 1.0, ""VN_LEGACY63_72"": 1.0, ""VN_LEGACY63_74"": 1.0, ""VN_LEGACY63_75"": 1.0, ""VN_LEGACY63_77"": 1.0, ""VN_LEGACY63_79"": 1.0, ""VN_LEGACY63_80"": 1.0, ""VN_LEGACY63_82"": 1.0, ""VN_LEGACY63_83"": 1.0, ""VN_LEGACY63_84"": 1.0, ""VN_LEGACY63_86"": 1.0, ""VN_LEGACY63_87"": 1.0, ""VN_LEGACY63_89"": 1.0, ""VN_LEGACY63_91"": 1.0, ""VN_LEGACY63_92"": 1.0, ""VN_LEGACY63_93"": 1.0, ""VN_LEGACY63_94"": 1.0, ""VN_LEGACY63_95"": 1.0, ""VN_LEGACY63_96"": 1.0}",2021-2024,PASS
