year,quadkey,tile_x,tile_y,decoded_x,decoded_y,absolute_lon_difference,absolute_lat_difference,assignment_status,shapeISO
2024,1320322033210332,102.4283,23.364900000000002,102.42828369140625,23.36494997255115,1.6308593743019628e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322122223122,102.7249,23.2641,102.72491455078125,23.2640574608843,1.4550781244793143e-05,4.2539115700179764e-05,OUTSIDE_VIETNAM,
2024,1320322122223300,102.7249,23.259,102.72491455078125,23.259010826648783,1.4550781244793143e-05,1.0826648782824577e-05,OUTSIDE_VIETNAM,
2024,1320322122223322,102.7249,23.243900000000004,102.72491455078125,23.243869777671566,1.4550781244793143e-05,3.0222328437190527e-05,OUTSIDE_VIETNAM,
2024,1320322123211023,103.14789999999998,23.385099999999998,103.14788818359375,23.38511927973968,1.1816406228604137e-05,1.9279739682076524e-05,OUTSIDE_VIETNAM,
2024,1320322123211032,103.1534,23.385099999999998,103.15338134765625,23.38511927973968,1.8652343754865797e-05,1.9279739682076524e-05,OUTSIDE_VIETNAM,
2024,1320322123211203,103.14789999999998,23.375,103.14788818359375,23.375035009742792,1.1816406228604137e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2024,1320322123211210,103.1534,23.3801,103.15338134765625,23.38007724065646,1.8652343754865797e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2024,1320322123211211,103.15889999999999,23.3801,103.15887451171875,23.38007724065646,2.5488281238494892e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2024,1320322123211212,103.1534,23.375,103.15338134765625,23.375035009742792,1.8652343754865797e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2024,1320322123211213,103.15889999999999,23.375,103.15887451171875,23.375035009742792,2.5488281238494892e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2024,1320322123211223,103.14789999999998,23.364900000000002,103.14788818359375,23.36494997255115,1.1816406228604137e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322123211230,103.1534,23.369999999999997,103.15338134765625,23.369992587030435,1.8652343754865797e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2024,1320322123211232,103.1534,23.364900000000002,103.15338134765625,23.36494997255115,1.8652343754865797e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322123211233,103.15889999999999,23.364900000000002,103.15887451171875,23.36494997255115,2.5488281238494892e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322123213001,103.14789999999998,23.359900000000003,103.14788818359375,23.359907166336694,1.1816406228604137e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2024,1320322123213010,103.1534,23.359900000000003,103.15338134765625,23.359907166336694,1.8652343754865797e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2024,1320322123213011,103.15889999999999,23.359900000000003,103.15887451171875,23.359907166336694,2.5488281238494892e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2024,1320322123213012,103.1534,23.354900000000004,103.15338134765625,23.354864168418857,1.8652343754865797e-05,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2024,1320322123213013,103.15889999999999,23.354900000000004,103.15887451171875,23.354864168418857,2.5488281238494892e-05,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2024,1320322123213030,103.1534,23.3498,103.15338134765625,23.349820978829413,1.8652343754865797e-05,2.0978829414985967e-05,OUTSIDE_VIETNAM,
2024,1320322123213031,103.15889999999999,23.3498,103.15887451171875,23.349820978829413,2.5488281238494892e-05,2.0978829414985967e-05,OUTSIDE_VIETNAM,
2024,1320322123213032,103.1534,23.3448,103.15338134765625,23.34477759760015,1.8652343754865797e-05,2.2402399849852372e-05,OUTSIDE_VIETNAM,
2024,1320322123231011,103.15889999999999,23.3196,103.15887451171875,23.31955781796969,2.5488281238494892e-05,4.218203030958989e-05,OUTSIDE_VIETNAM,
2024,1320322123310123,103.30170000000001,23.385099999999998,103.30169677734375,23.38511927973968,3.222656260959411e-06,1.9279739682076524e-05,OUTSIDE_VIETNAM,
2024,1320322123310201,103.2797,23.3801,103.27972412109375,23.38007724065646,2.4121093744611244e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2024,1320322123311133,103.3566,23.385099999999998,103.35662841796875,23.38511927973968,2.841796874974989e-05,1.9279739682076524e-05,OUTSIDE_VIETNAM,
2024,1320322123311311,103.3566,23.3801,103.35662841796875,23.38007724065646,2.841796874974989e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2024,1320322123311313,103.3566,23.375,103.35662841796875,23.375035009742792,2.841796874974989e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2024,1320322123311320,103.3401,23.369999999999997,103.34014892578125,23.369992587030435,4.892578124326974e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2024,1320322123311333,103.3566,23.364900000000002,103.35662841796875,23.36494997255115,2.841796874974989e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322123313030,103.32919999999999,23.3498,103.32916259765625,23.349820978829413,3.740234373594831e-05,2.0978829414985967e-05,OUTSIDE_VIETNAM,
2024,1320322123313031,103.3347,23.3498,103.33465576171875,23.349820978829413,4.423828124799911e-05,2.0978829414985967e-05,OUTSIDE_VIETNAM,
2024,1320322132200200,103.36210000000001,23.3801,103.36212158203125,23.38007724065646,2.1582031237699084e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2024,1320322132200201,103.3676,23.3801,103.36761474609375,23.38007724065646,1.4746093754069989e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2024,1320322132200202,103.36210000000001,23.375,103.36212158203125,23.375035009742792,2.1582031237699084e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2024,1320322132200203,103.3676,23.375,103.36761474609375,23.375035009742792,1.4746093754069989e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2024,1320322132200211,103.3786,23.3801,103.37860107421875,23.38007724065646,1.074218744179234e-06,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2024,1320322132200213,103.3786,23.375,103.37860107421875,23.375035009742792,1.074218744179234e-06,3.500974279191382e-05,OUTSIDE_VIETNAM,
2024,1320322132200221,103.3676,23.369999999999997,103.36761474609375,23.369992587030435,1.4746093754069989e-05,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2024,1320322132200222,103.36210000000001,23.364900000000002,103.36212158203125,23.36494997255115,2.1582031237699084e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322132200223,103.3676,23.364900000000002,103.36761474609375,23.36494997255115,1.4746093754069989e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322132200231,103.3786,23.369999999999997,103.37860107421875,23.369992587030435,1.074218744179234e-06,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2024,1320322132200232,103.37310000000002,23.364900000000002,103.37310791015625,23.36494997255115,7.91015622780833e-06,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322132200233,103.3786,23.364900000000002,103.37860107421875,23.36494997255115,1.074218744179234e-06,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322132200311,103.40060000000001,23.3801,103.40057373046875,23.38007724065646,2.626953126139142e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2024,1320322132200320,103.38409999999999,23.369999999999997,103.38409423828125,23.369992587030435,5.7617187394498615e-06,7.4129695626368175e-06,OUTSIDE_VIETNAM,
2024,1320322132200322,103.38409999999999,23.364900000000002,103.38409423828125,23.36494997255115,5.7617187394498615e-06,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322132200332,103.3951,23.364900000000002,103.39508056640625,23.36494997255115,1.9433593749340616e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322132200333,103.40060000000001,23.364900000000002,103.40057373046875,23.36494997255115,2.626953126139142e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322132201202,103.40610000000001,23.375,103.40606689453125,23.375035009742792,3.310546875923137e-05,3.500974279191382e-05,OUTSIDE_VIETNAM,
2024,1320322132201222,103.40610000000001,23.364900000000002,103.40606689453125,23.36494997255115,3.310546875923137e-05,4.9972551146026944e-05,OUTSIDE_VIETNAM,
2024,1320322132201301,103.43350000000001,23.3801,103.43353271484375,23.38007724065646,3.271484374067768e-05,2.2759343540457166e-05,OUTSIDE_VIETNAM,
2024,1320322132202000,103.36210000000001,23.359900000000003,103.36212158203125,23.359907166336694,2.1582031237699084e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2024,1320322132202001,103.3676,23.359900000000003,103.36761474609375,23.359907166336694,1.4746093754069989e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2024,1320322132202003,103.3676,23.354900000000004,103.36761474609375,23.354864168418857,1.4746093754069989e-05,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2024,1320322132202011,103.3786,23.359900000000003,103.37860107421875,23.359907166336694,1.074218744179234e-06,7.166336690289654e-06,OUTSIDE_VIETNAM,
2024,1320322132202101,103.38960000000002,23.359900000000003,103.38958740234375,23.359907166336694,1.2597656265711521e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2024,1320322132202103,103.38960000000002,23.354900000000004,103.38958740234375,23.354864168418857,1.2597656265711521e-05,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2024,1320322132202110,103.3951,23.359900000000003,103.39508056640625,23.359907166336694,1.9433593749340616e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2024,1320322132202111,103.40060000000001,23.359900000000003,103.40057373046875,23.359907166336694,2.626953126139142e-05,7.166336690289654e-06,OUTSIDE_VIETNAM,
2024,1320322132202113,103.40060000000001,23.354900000000004,103.40057373046875,23.354864168418857,2.626953126139142e-05,3.5831581147505176e-05,OUTSIDE_VIETNAM,
2024,1320322132202120,103.38409999999999,23.3498,103.38409423828125,23.349820978829413,5.7617187394498615e-06,2.0978829414985967e-05,OUTSIDE_VIETNAM,
2024,1320322132202122,103.38409999999999,23.3448,103.38409423828125,23.34477759760015,5.7617187394498615e-06,2.2402399849852372e-05,OUTSIDE_VIETNAM,
2024,1320322132202123,103.38960000000002,23.3448,103.38958740234375,23.34477759760015,1.2597656265711521e-05,2.2402399849852372e-05,OUTSIDE_VIETNAM,
2024,1320322132202132,103.3951,23.3448,103.39508056640625,23.34477759760015,1.9433593749340616e-05,2.2402399849852372e-05,OUTSIDE_VIETNAM,
2024,1320322132203020,103.40610000000001,23.3498,103.40606689453125,23.349820978829413,3.310546875923137e-05,2.0978829414985967e-05,OUTSIDE_VIETNAM,
2024,1320322132203021,103.41159999999999,23.3498,103.41156005859375,23.349820978829413,3.9941406242860467e-05,2.0978829414985967e-05,OUTSIDE_VIETNAM,
2024,1320322132203300,103.428,23.3397,103.42803955078125,23.339734024762866,3.9550781252728484e-05,3.402476286495926e-05,OUTSIDE_VIETNAM,
2024,1320322132203320,103.428,23.3296,103.42803955078125,23.329646304391456,3.9550781252728484e-05,4.630439145714149e-05,OUTSIDE_VIETNAM,
2024,1320322132230022,103.45,23.3044,103.45001220703125,23.304423652549666,1.2207031247157829e-05,2.365254966463226e-05,OUTSIDE_VIETNAM,
2024,1320322211000101,102.33489999999999,23.2388,102.33489990234375,23.238822379362045,9.765624042756826e-08,2.2379362043523088e-05,OUTSIDE_VIETNAM,
2024,1320322211030122,102.4173,23.1429,102.41729736328125,23.142885569598487,2.636718747339728e-06,1.443040151372088e-05,OUTSIDE_VIETNAM,
2024,1320322211033000,102.4393,23.1176,102.43927001953125,23.11762761192055,2.9980468752910383e-05,2.761192055089623e-05,OUTSIDE_VIETNAM,
2024,1320322211100333,102.52170000000001,23.2035,102.52166748046875,23.20348524670303,3.251953125982254e-05,1.4753296969871599e-05,OUTSIDE_VIETNAM,
2024,1320322211221111,102.3898,22.9963,102.38983154296875,22.996323306867158,3.154296875607088e-05,2.330686715623642e-05,OUTSIDE_VIETNAM,
2024,1320322211221130,102.38430000000001,22.9862,102.38433837890625,22.986209684312332,3.837890623969997e-05,9.68431233161482e-06,OUTSIDE_VIETNAM,
2024,1320322211230000,102.3953,22.9963,102.39532470703125,22.996323306867158,2.4707031244020072e-05,2.330686715623642e-05,OUTSIDE_VIETNAM,
