parent_artifact_id,child_artifact_id,run_id
s00_preflight_01_environment,s11_measurement_review_01_table_12_aggregation_agreement,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_01_table_12_aggregation_agreement,run_20260913T072518Z
s00_preflight_01_environment,s11_measurement_review_02_table_13_measurement_influence_audit,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_02_table_13_measurement_influence_audit,run_20260913T072518Z
s00_preflight_01_environment,s11_measurement_review_03_table_14_composition_sensitivity,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_03_table_14_composition_sensitivity,run_20260913T072518Z
s00_preflight_01_environment,s11_measurement_review_04_exposure_adjudication_decision,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_04_exposure_adjudication_decision,run_20260913T072518Z
s00_preflight_01_environment,s11_measurement_review_05_measurement_review_claim_audit,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_05_measurement_review_claim_audit,run_20260913T072518Z
s00_preflight_01_environment,s11_measurement_review_06_human_measurement_review_report,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_06_human_measurement_review_report,run_20260913T072518Z
s00_preflight_01_environment,s11_measurement_review_07_exposure_adjudication_next_action,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_07_exposure_adjudication_next_action,run_20260913T072518Z
s00_preflight_01_environment,s11_measurement_review_08_measurement_review_lineage,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_08_measurement_review_lineage,run_20260913T072518Z
s00_preflight_01_environment,s11_measurement_review_09_human_measurement_review_ledger_20260913,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_09_human_measurement_review_ledger_20260913,run_20260913T072518Z
s00_preflight_01_environment,s11_measurement_review_10_human_measurement_review_ledger_lock,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_10_human_measurement_review_ledger_lock,run_20260913T072518Z
s00_preflight_01_environment,s11_measurement_review_11_measurement_review_stable_hashes,run_20260913T072518Z
s00_preflight_02_treatment_readiness_evidence,s11_measurement_review_11_measurement_review_stable_hashes,run_20260913T072518Z
