parent,child,relation
vnnic_province_month_legacy63_csv,fact_vnnic_province_month_primary,locked_filter_no_value_weight
fact_vnnic_province_month_primary,fact_connectivity_province_year,unweighted_median_april_december
nso_official_snapshot_long,fact_nso_primary_outcome,V05.05_2021_2024_explicit_code_filter
dim_province_legacy63,analysis_panel_2021_2024,explicit_63_by_4_skeleton
fact_connectivity_province_year,analysis_panel_2021_2024,one_to_one_left_merge
fact_nso_primary_outcome,analysis_panel_2021_2024,one_to_one_left_merge
