evidence_id,official_url,retrieval_timestamp_utc,http_status,content_type,file_path,file_bytes,sha256,supports
official_interface,https://internetatlas.vnnic.vn/i-speed,2026-09-13T01:37:17.448015+00:00,200,text/html;charset=UTF-8,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\vnnic_semantics\source_documents\official_interface.html,25683,e802f295373d2e4fe98286145e3e04ff9c964bcecfe58d32d6b4e055d72dc30d,official endpoint/interface evidence
official_interface_js,https://internetatlas.vnnic.vn/themes/js/pages/statistic/i-speed-new.js,2026-09-13T01:37:17.448015+00:00,200,text/javascript,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\vnnic_semantics\source_documents\official_interface_js.js,25120,62d9073fa1cd73959d05663d706d35a1f3e33d9617913ef0f95aa8486cc4b6da,official endpoint/interface evidence
endpoint_example,https://internetatlas.vnnic.vn/i-speed/ftth/overview-place-map?year=2021&month=4&isp=ALL&cityId=-1,2026-09-13T01:37:17.448015+00:00,200,application/json,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\data\reference\vnnic_semantics\request_examples\endpoint_example.json,5345,611ee96825072827580e3e504ac2d61ecb9bfaf36a69d32ca236cc9c39b8bcc3,official endpoint/interface evidence
