parent_artifact_id,child_artifact_id,run_id
s00_preflight_01_environment,s14_internal_review_01_measurement_divergence_manuscript_draft_v1_20260913,run_20260913T113951Z
s00_preflight_02_treatment_readiness_evidence,s14_internal_review_01_measurement_divergence_manuscript_draft_v1_20260913,run_20260913T113951Z
s00_preflight_01_environment,s14_internal_review_02_measurement_divergence_manuscript_revision_01,run_20260913T113951Z
s00_preflight_02_treatment_readiness_evidence,s14_internal_review_02_measurement_divergence_manuscript_revision_01,run_20260913T113951Z
s00_preflight_01_environment,s14_internal_review_03_measurement_divergence_appendix_revision_01,run_20260913T113951Z
s00_preflight_02_treatment_readiness_evidence,s14_internal_review_03_measurement_divergence_appendix_revision_01,run_20260913T113951Z
s00_preflight_01_environment,s14_internal_review_04_internal_scientific_review_01,run_20260913T113951Z
s00_preflight_02_treatment_readiness_evidence,s14_internal_review_04_internal_scientific_review_01,run_20260913T113951Z
s00_preflight_01_environment,s14_internal_review_05_internal_review_response_matrix,run_20260913T113951Z
s00_preflight_02_treatment_readiness_evidence,s14_internal_review_05_internal_review_response_matrix,run_20260913T113951Z
s00_preflight_01_environment,s14_internal_review_06_internal_review_claim_ledger,run_20260913T113951Z
s00_preflight_02_treatment_readiness_evidence,s14_internal_review_06_internal_review_claim_ledger,run_20260913T113951Z
s00_preflight_01_environment,s14_internal_review_07_internal_review_numeric_reconciliation,run_20260913T113951Z
s00_preflight_02_treatment_readiness_evidence,s14_internal_review_07_internal_review_numeric_reconciliation,run_20260913T113951Z
s00_preflight_01_environment,s14_internal_review_08_measurement_divergence_manuscript_revision_01_changelog,run_20260913T113951Z
s00_preflight_02_treatment_readiness_evidence,s14_internal_review_08_measurement_divergence_manuscript_revision_01_changelog,run_20260913T113951Z
s00_preflight_01_environment,s14_internal_review_09_internal_scientific_review_decision,run_20260913T113951Z
s00_preflight_02_treatment_readiness_evidence,s14_internal_review_09_internal_scientific_review_decision,run_20260913T113951Z
