parent_artifact_id,child_artifact_id,run_id
s00_preflight_01_environment,s12_paper_protocol_01_measurement_divergence_paper_protocol_20260913,run_20260913T074111Z
s00_preflight_02_treatment_readiness_evidence,s12_paper_protocol_01_measurement_divergence_paper_protocol_20260913,run_20260913T074111Z
s00_preflight_01_environment,s12_paper_protocol_02_measurement_divergence_paper_protocol_lock,run_20260913T074111Z
s00_preflight_02_treatment_readiness_evidence,s12_paper_protocol_02_measurement_divergence_paper_protocol_lock,run_20260913T074111Z
s00_preflight_01_environment,s12_paper_protocol_03_measurement_divergence_protocol_audit,run_20260913T074111Z
s00_preflight_02_treatment_readiness_evidence,s12_paper_protocol_03_measurement_divergence_protocol_audit,run_20260913T074111Z
s00_preflight_01_environment,s12_paper_protocol_04_measurement_divergence_protocol_readiness,run_20260913T074111Z
s00_preflight_02_treatment_readiness_evidence,s12_paper_protocol_04_measurement_divergence_protocol_readiness,run_20260913T074111Z
s00_preflight_01_environment,s12_paper_protocol_05_measurement_divergence_manuscript_plan,run_20260913T074111Z
s00_preflight_02_treatment_readiness_evidence,s12_paper_protocol_05_measurement_divergence_manuscript_plan,run_20260913T074111Z
