artifact_id,path,stage,run_id,file_size,sha256,row_count,column_count,schema_fingerprint,config_hash,code_hash,parent_artifact_ids,creation_time,validation_status
s00_preflight_01_environment,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\runs\run_20260913T075141Z\environment.json,s00_preflight,run_20260913T075141Z,2899,c9d8bb7ed13e8c7d82c11c017e9316971f18bac0d273a0087a6f734b1ae1280b,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,fd37f0b82f2b122a9e5f546a1a814b0948e6289bba81234c3051e3ea3d868b6a,,2026-09-13T07:51:42.946687+00:00,PASS
s00_preflight_02_treatment_readiness_evidence,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\runs\run_20260913T075141Z\treatment_readiness_evidence.json,s00_preflight,run_20260913T075141Z,782,fbb43a6a5248a0262a49a79ece47bb95b629ec499f2de031bebf2faa5c8207dc,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,fd37f0b82f2b122a9e5f546a1a814b0948e6289bba81234c3051e3ea3d868b6a,,2026-09-13T07:51:42.948558+00:00,PASS
s13_manuscript_01_measurement_divergence_manuscript,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\reports\measurement_divergence_manuscript.md,s13_manuscript,run_20260913T075141Z,15157,723b3c0bc757e79fb94c50aff4c7d0bbfbcc2c64597efa1dd92cf64a73ad7281,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,db2e14e71ee6fcf5bbe7874970567ba56231a2e3a0c4f3ff9cc8de92d69b1add,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:51:42.992299+00:00,PASS
s13_manuscript_02_measurement_divergence_appendix,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\reports\measurement_divergence_appendix.md,s13_manuscript,run_20260913T075141Z,2834,0b5d5bb480283bbc8e8c6a9dda2124c654b3aea86127847c18debacd5ccb1003,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,db2e14e71ee6fcf5bbe7874970567ba56231a2e3a0c4f3ff9cc8de92d69b1add,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:51:42.999435+00:00,PASS
s13_manuscript_03_manuscript_claim_source_crosswalk,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\manuscript_claim_source_crosswalk.csv,s13_manuscript,run_20260913T075141Z,1762,e74f5fb6515e7e4865407d828cd0bc678678090d5f0d3ff7bef5713cfd7d77fa,7,6,02ffa96ed7f4519dcd6ca0bd08b93391e9b44b74d4f6227d758e758faa59080f,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,db2e14e71ee6fcf5bbe7874970567ba56231a2e3a0c4f3ff9cc8de92d69b1add,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:51:43.011299+00:00,PASS
s13_manuscript_04_manuscript_numeric_reconciliation,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\manuscript_numeric_reconciliation.csv,s13_manuscript,run_20260913T075141Z,2161,ae74bbdb636fe3b5c3082ab3f98cca6c1bbb50c4c9ef5e27e5fd543e6d6d990a,16,6,e492a7b5008bebfabe811da57ecb2b5bc85e79b32e449b91fa0d4044b78431a4,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,db2e14e71ee6fcf5bbe7874970567ba56231a2e3a0c4f3ff9cc8de92d69b1add,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:51:43.022638+00:00,PASS
s13_manuscript_05_manuscript_allow_list_compliance,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\manuscript_allow_list_compliance.json,s13_manuscript,run_20260913T075141Z,4798,282edaffeae70fbd11eed335839de49339653e3792b26fffbae6ac7d9172a153,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,db2e14e71ee6fcf5bbe7874970567ba56231a2e3a0c4f3ff9cc8de92d69b1add,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:51:43.031089+00:00,PASS
s13_manuscript_06_manuscript_validation,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\artifacts\qc\manuscript_validation.json,s13_manuscript,run_20260913T075141Z,427,373c435bf7e85c9e0d4dc5fd371583127c85ee99fa32d2dcda0ad31f369c3d4a,,,,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,db2e14e71ee6fcf5bbe7874970567ba56231a2e3a0c4f3ff9cc8de92d69b1add,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:51:43.037188+00:00,PASS
s13_manuscript_07_measurement_divergence_references,D:\Q1_RESEARCH\CONNECTIVITY_ENTERPRISE_STUDY\reports\measurement_divergence_references.csv,s13_manuscript,run_20260913T075141Z,490,2ea37f3c46e01619391d2b22364c3d03f2433497071194855e2aa95679718fea,3,6,9c072be6a18e47c1e10fd41c68c24c25cb252bd0e30ac1e222922d019314c48b,6cc730af06266e33340e256fa61d481c00336300af59ad5c944ff5737e40c4ce,db2e14e71ee6fcf5bbe7874970567ba56231a2e3a0c4f3ff9cc8de92d69b1add,s00_preflight_01_environment | s00_preflight_02_treatment_readiness_evidence,2026-09-13T07:51:43.048612+00:00,PASS
