parent_artifact_id,child_artifact_id,run_id
s00_preflight_01_environment,s13_manuscript_01_measurement_divergence_manuscript,run_20260913T075141Z
s00_preflight_02_treatment_readiness_evidence,s13_manuscript_01_measurement_divergence_manuscript,run_20260913T075141Z
s00_preflight_01_environment,s13_manuscript_02_measurement_divergence_appendix,run_20260913T075141Z
s00_preflight_02_treatment_readiness_evidence,s13_manuscript_02_measurement_divergence_appendix,run_20260913T075141Z
s00_preflight_01_environment,s13_manuscript_03_manuscript_claim_source_crosswalk,run_20260913T075141Z
s00_preflight_02_treatment_readiness_evidence,s13_manuscript_03_manuscript_claim_source_crosswalk,run_20260913T075141Z
s00_preflight_01_environment,s13_manuscript_04_manuscript_numeric_reconciliation,run_20260913T075141Z
s00_preflight_02_treatment_readiness_evidence,s13_manuscript_04_manuscript_numeric_reconciliation,run_20260913T075141Z
s00_preflight_01_environment,s13_manuscript_05_manuscript_allow_list_compliance,run_20260913T075141Z
s00_preflight_02_treatment_readiness_evidence,s13_manuscript_05_manuscript_allow_list_compliance,run_20260913T075141Z
s00_preflight_01_environment,s13_manuscript_06_manuscript_validation,run_20260913T075141Z
s00_preflight_02_treatment_readiness_evidence,s13_manuscript_06_manuscript_validation,run_20260913T075141Z
s00_preflight_01_environment,s13_manuscript_07_measurement_divergence_references,run_20260913T075141Z
s00_preflight_02_treatment_readiness_evidence,s13_manuscript_07_measurement_divergence_references,run_20260913T075141Z
